problem_clarity_score,market_need_score,founder_market_fit_score,ai_fit_score,business_potential_score,validation_score,confidence,eye_contact,speaking_speed,filler_words,clarity,energy,qna_quality_score,pitch_length_words,has_clear_customer,has_business_model,has_competition_awareness,has_go_to_market,has_revenue_model,investor_readiness_score
62.17,83.6,23.55,76.98,48.13,51.8,46.26,42.73,135.0,4.0,54.05,64.98,39.48,180,1,0.0,0,0.0,0.0,48.72
60.82,58.88,49.71,49.21,57.74,40.64,68.39,69.01,166.0,9.0,53.32,43.51,,183,1,0.0,0,0.0,0.0,53.89
58.1,46.6,31.87,50.29,81.74,59.96,92.56,82.95,151.0,4.0,67.0,65.51,,209,0,1.0,0,0.0,1.0,65.7
67.04,39.17,38.31,52.55,58.13,47.33,58.98,58.6,107.0,9.0,41.56,41.75,47.02,309,0,0.0,0,1.0,0.0,33.93
72.75,63.48,32.95,61.63,69.84,,62.5,69.79,128.0,7.0,55.03,72.7,47.65,239,1,0.0,0,1.0,0.0,55.85
87.1,27.51,69.19,54.42,64.53,59.73,67.39,58.55,147.0,3.0,74.0,47.87,63.33,165,0,0.0,0,0.0,0.0,49.22
48.19,33.39,30.89,67.85,68.49,34.62,51.37,43.99,117.0,7.0,55.75,77.62,39.43,254,0,0.0,0,1.0,1.0,45.54
78.68,49.94,72.47,71.96,65.89,49.91,91.19,53.19,170.0,6.0,65.9,89.06,47.86,212,0,,0,0.0,0.0,63.37
33.22,37.99,29.62,56.42,14.15,41.85,85.93,73.17,134.0,8.0,45.65,80.36,69.56,192,0,0.0,0,0.0,0.0,34.47
70.16,50.02,44.63,36.5,58.13,41.69,67.91,47.6,134.0,4.0,68.64,37.82,48.35,332,0,1.0,0,1.0,0.0,54.27
53.2,40.43,75.0,73.78,55.89,62.88,54.22,28.17,109.0,11.0,,38.55,49.51,194,0,0.0,0,0.0,0.0,34.63
84.7,51.61,63.85,88.2,76.29,69.28,55.68,70.02,174.0,6.0,63.1,82.54,42.93,294,0,1.0,0,1.0,1.0,63.74
80.55,41.57,56.45,76.38,61.52,58.89,45.91,59.27,133.0,13.0,49.68,56.37,45.65,267,0,0.0,0,0.0,1.0,47.85
89.58,80.91,54.93,74.71,69.84,67.71,75.67,79.59,,5.0,91.57,66.59,82.32,295,1,0.0,1,0.0,0.0,73.04
59.59,26.88,33.0,63.43,34.43,52.66,50.83,53.71,123.0,14.0,50.78,57.62,59.74,159,0,0.0,0,0.0,0.0,30.22
65.75,77.53,44.92,83.25,85.56,60.55,60.81,25.02,131.0,2.0,55.15,55.97,57.75,208,1,0.0,0,1.0,0.0,69.42
67.4,24.5,66.46,76.99,78.92,51.17,42.45,74.78,141.0,11.0,60.62,48.14,42.9,208,0,1.0,0,1.0,0.0,52.08
90.99,51.03,26.24,77.96,63.12,61.2,93.85,78.13,151.0,1.0,85.25,79.76,74.6,296,0,1.0,0,1.0,,77.96
48.87,50.29,18.83,74.28,32.1,35.26,69.07,75.01,,2.0,59.9,78.55,56.54,210,1,0.0,0,0.0,0.0,38.05
41.42,73.05,30.84,65.21,33.14,38.6,59.23,62.73,156.0,3.0,68.85,73.81,36.42,223,0,0.0,1,0.0,0.0,46.65
80.54,65.88,26.62,55.08,80.05,58.62,86.77,91.5,155.0,5.0,67.97,69.48,70.14,192,0,1.0,0,1.0,1.0,77.43
72.02,49.31,58.62,86.1,63.9,63.2,46.17,63.5,146.0,8.0,32.6,37.63,56.98,165,0,0.0,0,0.0,1.0,48.36
92.27,54.05,55.71,71.02,63.95,74.98,38.79,43.54,124.0,7.0,59.72,47.36,56.24,284,0,0.0,0,,1.0,60.46
77.21,43.4,59.13,72.2,69.39,71.38,46.2,16.72,132.0,8.0,38.19,24.92,53.35,234,0,1.0,0,0.0,1.0,55.88
65.38,59.63,52.76,64.87,48.16,43.69,87.84,69.75,120.0,5.0,80.53,81.69,57.55,196,0,0.0,1,0.0,0.0,54.51
84.65,46.55,46.71,80.57,72.86,66.57,81.88,84.17,132.0,5.0,76.79,89.82,73.83,136,0,0.0,0,0.0,0.0,53.83
64.25,47.72,59.21,99.7,68.15,52.66,96.31,61.29,151.0,5.0,59.12,93.91,82.74,297,0,1.0,0,0.0,0.0,60.01
53.44,25.92,35.64,59.25,41.11,32.64,69.25,51.84,147.0,4.0,66.97,50.93,66.02,253,0,0.0,0,0.0,0.0,33.04
56.45,15.03,61.0,88.67,51.53,42.27,61.43,37.56,150.0,6.0,60.18,58.38,46.0,257,0,1.0,0,0.0,0.0,43.97
33.94,48.23,44.04,58.21,47.64,37.55,65.48,64.67,166.0,9.0,34.11,64.25,42.3,114,0,0.0,0,0.0,0.0,36.55
72.83,60.05,32.61,82.0,64.94,50.09,97.59,83.59,120.0,2.0,80.22,65.96,83.96,268,0,0.0,0,0.0,1.0,60.79
56.13,55.49,44.89,63.36,71.68,39.16,63.58,58.71,105.0,8.0,54.67,63.06,56.11,103,0,0.0,1,1.0,1.0,53.46
68.55,50.54,35.78,50.91,74.39,61.45,46.25,51.53,132.0,10.0,47.62,53.99,57.42,206,0,0.0,0,0.0,1.0,50.87
85.19,81.87,61.34,100.0,77.8,79.6,56.8,38.99,164.0,11.0,28.96,42.01,40.13,201,0,0.0,0,0.0,0.0,57.42
61.69,46.26,49.43,47.74,48.41,48.19,83.1,81.83,168.0,0.0,76.1,90.28,73.27,293,0,0.0,0,0.0,0.0,51.04
57.8,41.26,43.19,52.45,48.71,39.44,73.87,64.63,144.0,12.0,53.65,83.5,50.55,268,0,0.0,0,0.0,0.0,35.34
54.84,29.43,67.05,44.79,30.95,50.37,42.97,22.66,131.0,8.0,36.21,56.29,46.47,343,0,0.0,0,0.0,0.0,39.75
85.76,70.21,63.73,96.56,80.47,71.81,62.83,52.87,143.0,7.0,67.33,54.13,57.8,203,0,1.0,1,1.0,1.0,73.32
85.53,58.06,51.58,93.89,58.07,59.53,38.94,42.7,156.0,4.0,49.11,51.22,65.4,324,1,0.0,0,,0.0,63.39
68.98,77.62,36.7,71.94,80.0,52.29,60.12,49.63,124.0,6.0,55.75,83.93,,233,0,0.0,1,0.0,1.0,62.37
46.59,46.32,38.43,40.79,45.37,44.36,60.54,60.85,128.0,10.0,45.95,53.38,68.94,162,0,0.0,0,0.0,0.0,36.94
54.4,48.39,32.99,64.37,70.29,46.44,65.92,68.93,141.0,8.0,44.85,70.38,52.0,202,0,0.0,0,1.0,0.0,50.03
54.98,65.09,32.38,48.04,50.66,49.6,65.03,80.85,159.0,2.0,78.65,59.07,57.71,356,1,1.0,1,0.0,1.0,62.18
44.72,34.71,47.19,36.22,43.15,39.9,49.33,64.44,152.0,8.0,61.79,46.74,38.48,190,0,0.0,0,0.0,0.0,33.95
59.94,75.34,51.65,51.63,70.71,62.95,68.38,65.6,104.0,4.0,80.97,81.97,60.77,224,1,1.0,0,1.0,1.0,62.23
67.26,68.03,25.72,72.65,75.69,57.88,65.72,43.05,154.0,11.0,49.95,40.19,54.98,318,0,1.0,0,0.0,0.0,50.16
60.53,46.47,66.29,55.62,59.79,52.03,90.77,76.64,142.0,1.0,81.78,81.68,70.52,257,0,0.0,0,0.0,0.0,57.56
53.64,72.76,41.0,55.82,46.61,54.56,50.32,55.59,148.0,10.0,61.69,71.11,58.57,241,1,0.0,0,0.0,0.0,41.28
62.8,32.32,18.04,32.44,61.5,45.53,64.12,51.66,135.0,10.0,56.41,41.98,51.02,131,0,0.0,0,0.0,0.0,28.02
100.0,100.0,64.48,100.0,90.92,94.42,75.19,42.61,149.0,7.0,73.17,70.36,83.96,177,1,1.0,1,1.0,1.0,84.46
78.19,72.0,41.75,61.7,42.62,50.69,72.36,69.46,141.0,11.0,65.16,35.3,71.28,361,0,0.0,0,0.0,0.0,53.87
90.02,40.58,75.74,83.47,61.8,71.23,27.25,45.48,124.0,9.0,49.88,53.97,60.35,203,0,0.0,0,0.0,0.0,43.44
49.46,42.45,29.17,59.46,68.9,34.83,69.34,36.86,126.0,13.0,38.31,50.82,53.35,354,0,0.0,0,1.0,0.0,32.53
43.48,68.4,55.78,64.83,41.32,56.46,44.02,40.17,133.0,15.0,40.7,38.17,52.68,246,1,0.0,0,0.0,0.0,38.05
63.17,69.89,38.12,45.12,43.69,47.58,45.12,72.7,113.0,8.0,66.89,66.86,39.29,277,1,0.0,0,0.0,0.0,50.6
69.65,39.35,29.95,49.53,54.89,51.04,38.1,48.01,127.0,6.0,58.87,43.69,49.45,127,0,0.0,0,0.0,0.0,24.08
81.33,45.39,55.91,61.27,70.66,68.08,73.08,64.11,134.0,10.0,53.51,55.31,53.11,369,0,0.0,0,1.0,0.0,52.47
65.31,65.2,47.74,52.77,51.55,55.72,69.74,66.94,158.0,6.0,,53.71,70.86,230,1,0.0,0,0.0,0.0,60.82
45.17,48.74,55.21,86.81,78.2,53.66,90.38,86.28,155.0,6.0,60.53,100.0,68.3,225,0,0.0,0,1.0,0.0,51.84
80.67,52.33,65.62,72.26,83.27,65.17,49.22,48.65,173.0,6.0,39.29,36.46,63.67,329,0,1.0,0,1.0,0.0,61.62
64.4,72.91,54.22,47.19,35.36,51.7,74.02,62.58,110.0,9.0,63.43,47.3,71.77,137,0,0.0,1,0.0,0.0,52.35
42.0,49.11,27.62,57.16,55.71,48.46,42.1,47.13,131.0,5.0,59.33,53.06,52.17,322,0,0.0,0,1.0,0.0,34.05
86.5,82.33,37.21,73.03,49.06,,48.59,63.72,159.0,7.0,68.92,44.76,50.41,172,1,0.0,1,0.0,0.0,56.18
67.36,58.83,31.02,58.38,71.73,40.93,54.12,69.26,,12.0,58.05,63.46,26.06,262,0,1.0,0,0.0,1.0,48.02
79.0,56.77,72.11,71.17,61.93,69.49,60.99,66.69,135.0,1.0,90.08,66.37,73.37,226,0,0.0,0,0.0,0.0,64.61
76.09,61.54,53.78,75.09,54.49,65.03,52.62,43.54,121.0,3.0,54.84,56.88,54.84,342,0,1.0,0,,0.0,60.82
83.58,24.01,51.57,66.26,78.72,55.96,100.0,72.2,156.0,1.0,92.14,87.26,83.7,153,0,1.0,0,0.0,1.0,67.76
54.46,32.26,58.6,61.46,50.13,41.83,61.96,71.97,142.0,12.0,50.0,78.18,56.71,133,0,0.0,0,0.0,0.0,38.85
56.19,56.58,17.01,70.42,38.41,36.41,60.41,56.44,132.0,12.0,20.3,44.98,47.21,247,1,0.0,1,0.0,0.0,34.19
43.22,29.85,44.08,66.24,23.21,31.52,69.58,62.39,158.0,3.0,47.32,39.92,50.18,80,0,0.0,0,0.0,0.0,24.09
73.81,30.64,55.5,83.47,75.48,57.59,56.97,57.98,178.0,13.0,53.73,44.31,38.27,144,0,1.0,0,1.0,1.0,52.6
94.98,29.79,99.49,97.36,81.4,61.49,65.25,65.99,123.0,6.0,77.39,84.47,76.36,215,1,0.0,0,1.0,1.0,72.71
60.14,67.48,72.26,51.25,58.69,62.32,52.13,20.35,148.0,17.0,41.82,47.25,40.16,198,0,0.0,0,0.0,0.0,35.55
74.42,77.84,50.5,79.98,61.36,64.78,32.14,40.44,137.0,12.0,53.04,42.84,43.04,163,1,0.0,1,1.0,0.0,57.19
77.12,58.45,70.93,73.94,84.41,,59.44,73.32,150.0,3.0,73.29,56.35,63.03,239,0,0.0,1,0.0,1.0,62.83
59.56,97.1,47.36,44.43,99.85,72.0,72.81,73.71,164.0,3.0,72.29,67.67,69.3,339,1,1.0,1,1.0,1.0,76.22
66.42,67.44,60.48,49.61,57.55,54.39,86.69,82.24,168.0,12.0,65.69,85.69,62.36,130,1,0.0,0,0.0,0.0,58.8
53.6,73.85,36.74,52.89,42.71,39.93,77.2,89.33,132.0,5.0,48.3,82.46,47.98,277,1,0.0,0,0.0,0.0,53.24
63.25,24.17,44.02,52.78,66.36,40.96,65.09,59.68,109.0,8.0,55.39,65.73,59.5,281,0,1.0,0,0.0,0.0,37.55
63.47,37.04,23.93,44.13,40.36,48.45,54.65,63.84,136.0,11.0,71.32,71.72,40.85,246,0,0.0,0,1.0,0.0,39.61
85.04,59.07,67.87,70.91,61.18,67.09,72.48,77.81,138.0,5.0,68.31,84.84,62.21,363,1,0.0,0,1.0,0.0,68.98
44.36,37.26,61.12,90.52,17.04,46.25,59.84,38.06,90.0,14.0,50.57,39.1,29.87,247,0,0.0,0,0.0,0.0,17.73
61.91,58.9,9.41,24.83,45.0,37.53,45.72,43.71,155.0,13.0,47.71,31.11,32.12,217,0,0.0,0,0.0,0.0,21.4
68.99,27.37,33.8,70.17,37.8,45.83,68.03,82.02,130.0,8.0,65.05,94.12,40.56,210,0,0.0,0,0.0,0.0,38.82
88.9,65.73,41.17,69.9,82.29,56.76,63.04,45.62,138.0,4.0,,57.72,64.22,348,1,1.0,0,1.0,1.0,79.51
77.65,69.83,64.32,69.09,58.92,70.38,68.5,42.65,129.0,6.0,56.83,80.2,65.9,262,1,0.0,0,1.0,0.0,61.41
75.59,54.55,61.14,51.3,77.02,54.47,60.34,65.77,135.0,5.0,84.13,73.82,52.75,327,1,1.0,0,0.0,1.0,67.61
80.44,53.18,60.16,95.52,75.47,53.58,63.98,58.23,162.0,5.0,57.88,70.56,24.42,289,0,0.0,0,0.0,0.0,57.59
59.34,55.15,70.52,47.91,64.13,,84.05,75.93,143.0,4.0,78.13,50.07,58.03,275,1,0.0,0,1.0,0.0,71.35
37.3,1.88,36.91,53.24,37.55,28.61,58.86,63.37,176.0,3.0,,58.9,36.56,171,0,0.0,0,0.0,0.0,19.66
49.93,41.16,23.42,67.56,44.65,40.74,58.41,65.47,149.0,3.0,64.19,72.04,47.4,141,0,0.0,0,0.0,0.0,35.57
90.51,54.11,60.32,55.14,64.9,52.16,61.54,70.46,151.0,8.0,61.2,47.47,63.33,273,0,0.0,0,1.0,0.0,58.15
42.31,18.76,52.83,65.62,32.83,40.31,54.98,63.42,134.0,13.0,42.67,62.23,31.06,286,0,,0,0.0,0.0,21.08
63.25,50.17,41.29,62.31,66.48,57.68,42.25,36.93,135.0,8.0,43.92,65.64,34.72,291,0,1.0,0,0.0,1.0,49.6
70.59,67.85,39.02,38.25,49.14,,50.9,64.12,156.0,,52.88,61.79,33.93,112,1,0.0,0,0.0,0.0,45.66
54.2,31.7,45.16,43.21,74.55,51.45,69.71,87.22,161.0,0.0,80.34,90.39,61.96,305,0,1.0,0,0.0,1.0,59.97
85.85,35.92,78.43,77.49,69.56,70.98,77.99,66.99,146.0,10.0,75.17,80.0,49.27,211,0,0.0,0,1.0,1.0,64.23
63.6,56.7,52.89,65.69,47.39,56.72,75.96,78.64,151.0,3.0,67.21,84.22,45.65,254,1,0.0,1,0.0,0.0,55.63
78.12,68.32,46.14,49.82,78.14,49.42,50.94,47.95,135.0,7.0,59.11,53.73,55.62,185,0,0.0,1,1.0,0.0,63.89
59.34,54.27,42.99,55.72,47.96,42.27,60.81,71.78,142.0,3.0,78.22,88.55,70.41,225,0,1.0,1,0.0,0.0,52.97
56.06,31.03,52.02,61.59,50.39,55.54,81.39,60.43,143.0,10.0,46.74,60.93,61.13,80,0,0.0,0,0.0,0.0,26.5
77.43,86.79,46.29,81.54,57.11,66.37,77.84,73.97,142.0,9.0,50.89,74.07,61.17,218,1,0.0,1,0.0,1.0,62.99
62.81,62.77,47.75,62.26,71.71,57.92,62.59,66.88,157.0,8.0,48.01,71.34,77.42,138,0,0.0,1,0.0,0.0,55.51
88.85,,97.84,83.15,63.51,62.62,95.09,72.26,142.0,3.0,84.38,73.54,69.88,109,0,0.0,0,0.0,0.0,57.6
66.74,37.17,69.32,78.15,59.21,52.04,82.15,86.26,130.0,5.0,54.94,75.04,55.87,346,1,0.0,0,0.0,0.0,47.45
76.64,68.86,78.59,88.65,89.55,80.75,75.88,54.48,136.0,2.0,65.82,53.6,66.77,243,1,0.0,1,1.0,1.0,86.24
60.05,7.28,39.22,69.95,43.87,46.81,53.45,62.39,132.0,9.0,49.92,60.87,63.88,355,0,1.0,0,0.0,0.0,24.76
43.71,11.86,29.17,45.24,35.11,34.07,57.51,80.02,220.0,13.0,65.28,55.37,53.79,182,0,0.0,0,0.0,0.0,21.31
67.52,49.3,17.2,54.75,35.94,46.27,38.22,45.32,125.0,10.0,51.05,50.56,49.31,233,0,0.0,0,0.0,0.0,35.65
39.01,29.13,53.89,54.89,51.42,44.29,77.5,38.46,161.0,12.0,49.52,54.86,58.8,212,0,0.0,0,0.0,0.0,43.04
100.0,100.0,76.92,79.93,86.43,85.19,63.55,43.1,,7.0,64.7,70.17,65.08,246,1,1.0,1,0.0,0.0,83.64
60.02,49.91,19.46,74.12,58.79,39.59,45.97,42.69,165.0,7.0,48.86,29.29,40.29,262,0,0.0,0,1.0,0.0,43.97
64.82,50.65,76.94,46.91,56.94,48.74,82.74,91.21,142.0,3.0,81.47,76.02,55.65,330,0,0.0,0,0.0,0.0,66.81
47.58,63.41,35.97,46.33,43.61,53.35,53.27,43.85,147.0,7.0,58.36,57.6,49.03,225,0,0.0,0,0.0,0.0,45.21
54.12,33.0,61.15,63.72,80.81,52.05,62.86,61.57,157.0,7.0,50.0,56.84,56.72,204,0,0.0,0,1.0,1.0,56.38
46.37,27.96,38.5,69.77,54.98,43.71,63.75,33.1,161.0,5.0,46.1,65.03,48.27,238,0,0.0,0,1.0,0.0,34.88
79.31,50.34,55.56,78.09,73.23,63.04,71.38,66.99,151.0,,65.97,66.03,72.09,297,0,1.0,1,0.0,1.0,75.24
99.54,86.95,57.17,95.19,64.21,77.64,52.41,46.2,184.0,0.0,83.17,29.97,69.53,232,1,0.0,1,0.0,0.0,62.02
49.13,81.42,42.64,63.94,74.91,60.01,59.5,57.24,138.0,11.0,55.47,51.67,58.84,263,1,1.0,0,1.0,1.0,61.38
61.81,56.74,52.42,58.78,62.1,59.0,44.32,62.53,109.0,5.0,66.61,85.47,45.25,208,0,0.0,0,1.0,0.0,59.97
67.01,60.22,77.32,56.82,60.79,57.0,41.79,38.63,135.0,4.0,63.64,64.59,39.5,255,1,0.0,0,0.0,1.0,58.48
47.32,69.15,21.4,44.66,57.28,53.01,41.56,87.49,150.0,11.0,55.68,46.94,37.32,311,0,1.0,0,0.0,0.0,44.56
75.03,88.05,26.51,70.27,69.49,58.26,82.95,69.04,150.0,1.0,84.65,79.29,80.49,245,1,0.0,0,0.0,0.0,75.36
66.75,35.62,62.41,50.9,53.04,52.38,41.71,43.19,117.0,10.0,28.77,45.8,25.74,245,0,0.0,0,0.0,0.0,31.64
91.0,78.61,59.91,86.76,59.31,63.84,76.22,76.29,135.0,11.0,56.0,77.15,65.75,308,1,1.0,1,0.0,0.0,68.32
76.2,,40.69,96.41,70.12,66.88,65.91,59.86,125.0,7.0,59.01,52.83,64.21,132,1,1.0,0,0.0,1.0,62.05
30.26,24.05,63.73,57.86,37.88,33.12,73.4,54.05,128.0,2.0,67.16,60.94,46.66,194,0,0.0,0,1.0,0.0,38.72
54.26,60.2,62.64,49.73,43.98,52.24,42.37,45.64,134.0,6.0,54.91,40.11,48.03,80,0,0.0,0,0.0,0.0,43.31
85.91,41.28,74.36,69.06,81.01,70.02,65.99,36.04,148.0,4.0,60.21,50.47,65.48,179,0,0.0,0,1.0,1.0,66.7
80.93,54.37,56.7,35.55,74.17,60.6,68.75,57.5,126.0,1.0,72.22,54.75,51.92,154,1,0.0,0,1.0,1.0,64.36
76.56,,38.06,60.3,36.95,61.16,98.95,94.01,132.0,9.0,69.65,77.18,64.94,229,1,0.0,0,0.0,0.0,55.87
96.23,79.91,62.94,100.0,86.36,83.38,70.15,50.96,153.0,2.0,63.65,61.86,69.52,230,1,0.0,1,1.0,1.0,78.65
41.83,38.91,56.27,47.09,45.16,41.09,62.49,38.78,123.0,9.0,31.52,48.07,44.88,228,1,0.0,1,0.0,0.0,29.13
78.64,35.39,81.68,60.07,77.06,61.89,64.84,76.79,123.0,4.0,57.76,77.49,45.6,255,0,0.0,1,0.0,0.0,59.08
